Wall time,Step,Value
1679400939,0,0.205929488
1679401537,50,0.894631386
1679402130,100,0.904346943
1679402716,150,0.909054458
1679403302,200,0.898637831
1679403909,250,0.906049669
1679404510,300,0.912059307
1679405117,350,0.911458313
1679405723,400,0.885917485
1679406325,450,0.907652259
1679406911,500,0.893529654
1679407513,550,0.9140625
1679408106,600,0.895733178
1679408705,650,0.913361371
1679409306,700,0.911057711
1679409892,750,0.9140625
1679410477,800,0.905148208
1679411076,850,0.902243614
1679411664,900,0.899439096
1679412267,950,0.916866958
1679412863,1000,0.907552063
1679413451,1050,0.917768419
1679414056,1100,0.917267621
1679414650,1150,0.91175884
1679415455,1200,0.904346943
1679416363,1250,0.922976792
1679417265,1300,0.915564895
1679418174,1350,0.912259638
1679419076,1400,0.906850934
1679419986,1450,0.922075331
1679420892,1500,0.910269217
1679421788,1550,0.914963961
1679422684,1600,0.907652259
1679423583,1650,0.911865362
1679424482,1700,0.910666687
1679425387,1750,0.913862169
1679426286,1800,0.91086536
1679427197,1850,0.90966669
1679428112,1900,0.90986217
1679429022,1950,0.90917387
1679429934,2000,0.912240362
1679430842,2050,0.91467952
1679431743,2100,0.9173871
1679432654,2150,0.912259638
1679433555,2200,0.91586536
1679434465,2250,0.91666669
1679435377,2300,0.91386217
1679436289,2350,0.91117387
1679437199,2400,0.91586536
1679438114,2450,0.91666669
1679439027,2500,0.91586536
1679439929,2550,0.91666669
1679440836,2600,0.91586217
1679441738,2650,0.91617387
1679442642,2700,0.91586536
1679443541,2750,0.91666669
1679444432,2800,0.91586217
1679445331,2850,0.91617387
1679446250,2900,0.91586536
1679447147,2950,0.91666669
1679448056,3000,0.91586217
1679448959,3050,0.91617387
1679449862,3100,0.91586536
1679450750,3150,0.91666669
1679451648,3200,0.91586217
1679452552,3250,0.91617387
1679453450,3300,0.91586536
1679454346,3350,0.91666669
1679455248,3400,0.91586536
1679456152,3450,0.91666669
1679457056,3500,0.91586217
1679457964,3550,0.91617387
1679458865,3600,0.91586536
1679459761,3650,0.91666669
1679460659,3700,0.91586217
1679461558,3750,0.91617387
1679462456,3800,0.91586536
1679463230,3850,0.91666669
1679463817,3900,0.91586536
1679464430,3950,0.91586217
1679465028,4000,0.91617387
1679465637,4050,0.91586536
1679466229,4100,0.91666669
1679466827,4150,0.91586217
1679467422,4200,0.91617387
1679468021,4250,0.91586536
1679468610,4300,0.91666669
1679469199,4350,0.91586217
1679469790,4400,0.91617387
1679470377,4450,0.91586536
1679470971,4500,0.91666669
1679471562,4550,0.91586536
1679472156,4600,0.91666669
1679472742,4650,0.91586217
1679473348,4700,0.91617387
1679473954,4750,0.91586536
,4800,0.91666669
,4850,0.91586217
,4900,0.91617387
,4950,0.91586536
,5000,0.91666669
,5050,0.91586217
,5100,0.91617387
,5150,0.91586536
,5200,0.91666669
,5250,0.91586536
,5300,0.91666669
,5350,0.91586217
,5400,0.91617387
,5450,0.91586536
,5500,0.91666669
,5550,0.91586217
,5600,0.91617387
,5650,0.91586536
,5700,0.91666669
,5750,0.91586217
,5800,0.91617387
,5850,0.91586536
,5900,0.91666669
,5950,0.91666669
