Wall time,Step,Value
1679464909,0,0.133814096
1679465182,50,0.73667866
1679465678,100,0.858874202
1679466156,150,0.891426265
1679466628,200,0.909955919
1679467124,250,0.914763629
1679467597,300,0.91175884
1679468075,350,0.917568088
1679468543,400,0.921975136
1679469020,450,0.906951129
1679469500,500,0.921274066
1679469997,550,0.92027241
1679470487,600,0.921574533
1679471003,650,0.926782846
1679471507,700,0.920472741
1679471988,750,0.919971943
1679472465,800,0.917367816
1679472968,850,0.927483976
1679473444,900,0.926382184
1679473920,950,0.919671476
1679474390,1000,0.921173871
1679474872,1050,0.917167485
1679475347,1100,0.920172274
1679475840,1150,0.928185105
1679476318,1200,0.92347759
1679476804,1250,0.928485572
1679477325,1300,0.921274066
1679477804,1350,0.928685904
1679478296,1400,0.925380588
1679478770,1450,0.926181912
1679479272,1500,0.927584112
1679479750,1550,0.926983178
1679480229,1600,0.927483976
1679480713,1650,0.929487169
1679481186,1700,0.930280452
1679481685,1750,0.92947759
1679482166,1800,0.930377395
1679482663,1850,0.930875
1679483160,1900,0.93138384
1679483632,1950,0.930286838
1679484130,2000,0.93138384
1679484649,2050,0.930480783
1679485131,2100,0.930784443
,2150,0.930948398
,2200,0.930377395
,2250,0.930875
,2300,0.93138384
,2350,0.930286838
,2400,0.93138384
,2450,0.930480783
,2500,0.930784443
,2550,0.930948398
,2600,0.9303774
,2650,0.930875
,2700,0.93138384
,2750,0.93028684
,2800,0.93138384
,2850,0.93048078
,2900,0.93078444
,2950,0.9309484
,3000,0.9303774
,3050,0.930875
,3100,0.93138384
,3150,0.93028684
,3200,0.93138384
,3250,0.93048078
,3300,0.93078444
,3350,0.9309484
,3400,0.9303774
,3450,0.930875
,3500,0.93138384
,3550,0.93028684
,3600,0.93138384
,3650,0.93048078
,3700,0.93078444
,3750,0.9309484
,3800,0.9303774
,3850,0.930875
,3900,0.93138384
,3950,0.93028684
,4000,0.93138384
,4050,0.93048078
,4100,0.93078444
,4150,0.9309484
,4200,0.9303774
,4250,0.930875
,4300,0.93138384
,4350,0.93028684
,4400,0.93138384
,4450,0.93048078
,4500,0.93078444
,4550,0.9309484
,4600,0.9303774
,4650,0.930875
,4700,0.93138384
,4750,0.93028684
,4800,0.93138384
,4850,0.93048078
,4900,0.93078444
,4950,0.9309484
,5000,0.9303774
,5050,0.930875
,5100,0.93138384
,5150,0.93028684
,5200,0.93138384
,5250,0.93148078
,5300,0.93078444
,5350,0.93129484
,5400,0.9303774
,5450,0.93018875
,5500,0.930875
,5550,0.93138384
,5600,0.93028684
,5650,0.93138384
,5700,0.93148078
,5750,0.93078444
,5800,0.93129484
,5850,0.9313774
,5900,0.93118875
,5950,0.93147759
