Wall time,Step,Value
1679400939,0,0.206169873
1679401537,50,0.951762795
1679402130,100,0.982732356
1679402716,150,0.991326094
1679403302,200,0.984875798
1679403909,250,0.986157835
1679404510,300,0.991586566
1679405117,350,0.991185904
1679405723,400,0.966085732
1679406325,450,0.991546452
1679406911,500,0.980629027
1679407513,550,0.993088961
1679408106,600,0.979867816
1679408705,650,0.994431078
1679409306,700,0.992007196
1679409892,750,0.993409455
1679410477,800,0.987680316
1679411076,850,0.988060892
1679411664,900,0.986738801
1679412267,950,0.995913446
1679412863,1000,0.989663482
1679413451,1050,0.996013641
1679414056,1100,0.995092154
1679414650,1150,0.993129015
1679415455,1200,0.983373404
1679416363,1250,0.996394217
1679417265,1300,0.995793283
1679418174,1350,0.99421072
1679419076,1400,0.991786838
1679419986,1450,0.998096943
1679420892,1500,0.997115374
1679421788,1550,0.994951904
1679422684,1600,0.986959159
1679423583,1650,0.99421072
1679424482,1700,0.996474385
1679425387,1750,0.994391024
1679426286,1800,0.996774852
1679427197,1850,0.989262819
1679428112,1900,0.998237193
1679429022,1950,0.996534467
1679429934,2000,0.986919045
1679430842,2050,0.997175455
1679431743,2100,0.998277247
1679432654,2150,0.995733202
1679433555,2200,0.996274054
1679434465,2250,0.999318898
1679435377,2300,0.996394217
1679436289,2350,0.998377383
1679437199,2400,0.997275651
1679438114,2450,1
1679439027,2500,1
1679439929,2550,1
1679440836,2600,1
1679441738,2650,1
1679442642,2700,1
1679443541,2750,1
1679444432,2800,1
1679445331,2850,1
1679446250,2900,1
1679447147,2950,1
1679448056,3000,1
1679448959,3050,1
1679449862,3100,1
1679450750,3150,1
1679451648,3200,1
1679452552,3250,1
1679453450,3300,1
1679454346,3350,1
1679455248,3400,1
1679456152,3450,1
1679457056,3500,1
1679457964,3550,1
1679458865,3600,1
1679459761,3650,1
1679460659,3700,1
1679461558,3750,1
1679462456,3800,1
1679463230,3850,1
1679463817,3900,1
1679464430,3950,1
1679465028,4000,1
1679465637,4050,1
1679466229,4100,1
1679466827,4150,1
1679467422,4200,1
1679468021,4250,1
1679468610,4300,1
1679469199,4350,1
1679469790,4400,1
1679470377,4450,1
1679470971,4500,1
1679471562,4550,1
1679472156,4600,1
1679472742,4650,1
1679473348,4700,1
1679473954,4750,1
1679474548,4800,1
1679475155,4850,1
1679475743,4900,1
1679476328,4950,1
1679476920,5000,1
1679477518,5050,1
1679478114,5100,1
1679478708,5150,1
1679479301,5200,1
1679479906,5250,1
1679480513,5300,1
1679481111,5350,1
1679481696,5400,1
1679482308,5450,1
1679482903,5500,1
1679483500,5550,1
1679484090,5600,1
1679484685,5650,1
1679485272,5700,1
1679485859,5750,1
1679486450,5800,1
1679487039,5850,1
1679487632,5900,1
,5950,1
