Wall time,Step,Value
1679401110,0,0.147075325
1679401933,50,0.896794856
1679402757,100,0.943068922
1679403581,150,0.945212364
1679404405,200,0.987239599
1679405229,250,0.984194696
1679406053,300,0.985256433
1679406877,350,0.990324497
1679407701,400,0.997255623
1679408525,450,0.991266012
1679409352,500,0.996674657
1679410176,550,0.997816503
1679411000,600,0.994030476
1679411824,650,0.995552897
1679412648,700,0.996754825
1679413473,750,0.995633006
1679414297,800,0.994090557
1679415427,850,0.993609786
1679416856,900,0.996334136
1679418321,950,0.998898208
1679419765,1000,0.99162662
1679421218,1050,0.999058485
1679422668,1100,0.998737991
1679424116,1150,0.99044472
1679425560,1200,0.997516036
1679427013,1250,0.996414244
1679428459,1300,0.994411051
1679429917,1350,0.998737991
1679431374,1400,0.997576118
1679432826,1450,0.999479175
1679434276,1500,0.994951904
1679435732,1550,0.999539256
1679437190,1600,0.999879837
1679438640,1650,0.999879837
1679440100,1700,0.995893419
1679441561,1750,0.999559283
1679443028,1800,0.999619365
1679444479,1850,0.999358952
1679445932,1900,0.999198735
1679447394,1950,0.998818099
1679448858,2000,0.999539256
1679450321,2050,0.998778045
1679451774,2100,0.998978376
1679453228,2150,0.999779642
1679454692,2200,0.999839723
1679456148,2250,0.999899864
1679457597,2300,0.99985975
1679459045,2350,0.999559283
1679460496,2400,0.999899864
1679461941,2450,1
1679463218,2500,1
1679464042,2550,1
1679464865,2600,1
1679465687,2650,1
1679466510,2700,1
1679467334,2750,1
1679468157,2800,1
1679468981,2850,1
1679469821,2900,1
1679470669,2950,1
1679471517,3000,1
1679472364,3050,1
1679473212,3100,1
1679474060,3150,1
1679474907,3200,1
1679475755,3250,1
1679476602,3300,1
1679477450,3350,1
1679478298,3400,1
1679479146,3450,1
1679479994,3500,1
1679480842,3550,1
1679481690,3600,1
1679482537,3650,1
1679483385,3700,1
1679484233,3750,1
1679485081,3800,1
1679485929,3850,1
1679486776,3900,1
1679487624,3950,1
,4000,1
,4050,1
,4100,1
,4150,1
,4200,1
,4250,1
,4300,1
,4350,1
,4400,1
,4450,1
,4500,1
,4550,1
,4600,1
,4650,1
,4700,1
,4750,1
,4800,1
,4850,1
,4900,1
,4950,1
,5000,1
,5050,1
,5100,1
,5150,1
,5200,1
,5250,1
,5300,1
,5350,1
,5400,1
,5450,1
,5500,1
,5550,1
,5600,1
,5650,1
,5700,1
,5750,1
,5800,1
,5850,1
,5900,1
,5950,1
,,
