Wall time,Step,Value
1679464703,0,0.141967148
1679464980,50,0.835596979
1679465243,100,0.927283645
1679465524,150,0.928345382
1679465802,200,0.958413482
1679466070,250,0.985737205
1679466331,300,0.990925491
1679466596,350,0.993729949
1679466861,400,0.988922298
1679467138,450,0.989863753
1679467405,500,0.993749976
1679467670,550,0.995192289
1679467931,600,0.986578524
1679468198,650,0.995372593
1679468479,700,0.995512843
1679468761,750,0.985356569
1679469042,800,0.995612979
1679469320,850,0.997315705
1679469590,900,0.993389428
1679469866,950,0.99364984
1679470148,1000,0.996314108
1679470427,1050,0.996234
1679470711,1100,0.995653033
1679470996,1150,0.995132208
1679471286,1200,0.99797678
1679471569,1250,0.998016834
1679471851,1300,0.995012045
1679472120,1350,0.99609375
1679472391,1400,0.99665463
1679472673,1450,0.993609786
1679472950,1500,0.996614575
1679473236,1550,0.997195542
1679473512,1600,0.997255623
1679473807,1650,0.99783653
1679474099,1700,0.997095346
1679474381,1750,0.994551301
1679474655,1800,0.997415841
1679474937,1850,0.997355759
1679475226,1900,0.993589759
1679475511,1950,0.997215569
1679475781,2000,0.994411051
1679476048,2050,0.998818099
1679476344,2100,0.998637795
1679476630,2150,0.997496009
1679476898,2200,0.997035265
1679477178,2250,0.995512843
1679477458,2300,0.998477578
1679477734,2350,0.997496009
1679478019,2400,0.998697937
1679478292,2450,1
1679478566,2500,1
1679478838,2550,1
1679479125,2600,1
1679479403,2650,1
1679479676,2700,1
1679479966,2750,1
1679480247,2800,1
1679480514,2850,1
1679480786,2900,1
1679481057,2950,1
1679481324,3000,1
1679481590,3050,1
1679481860,3100,1
1679482138,3150,1
1679482415,3200,1
1679482686,3250,1
1679482964,3300,1
1679483237,3350,1
1679483513,3400,1
1679483789,3450,1
1679484066,3500,1
1679484354,3550,1
1679484623,3600,1
1679484911,3650,1
1679485197,3700,1
1679485484,3750,1
1679485779,3800,1
1679486048,3850,1
1679486315,3900,1
1679486577,3950,1
1679486843,4000,1
1679487107,4050,1
1679487387,4100,1
1679487676,4150,1
,4200,1
,4250,1
,4300,1
,4350,1
,4400,1
,4450,1
,4500,1
,4550,1
,4600,1
,4650,1
,4700,1
,4750,1
,4800,1
,4850,1
,4900,1
,4950,1
,5000,1
,5050,1
,5100,1
,5150,1
,5200,1
,5250,1
,5300,1
,5350,1
,5400,1
,5450,1
,5500,1
,5550,1
,5600,1
,5650,1
,5700,1
,5750,1
,5800,1
,5850,1
,5900,1
,5950,1
