Wall time,Step,Value
1679465003,0,0.131089747
1679465503,50,0.816526413
1679465973,100,0.922636211
1679466445,150,0.934755623
1679466919,200,0.95947516
1679467406,250,0.962860584
1679467869,300,0.986438274
1679468338,350,0.992948711
1679468809,400,0.992788434
1679469280,450,0.984735548
1679469766,500,0.994591355
1679470237,550,0.99609375
1679470713,600,0.993129015
1679471194,650,0.996834934
1679471692,700,0.997796476
1679472169,750,0.997195542
1679472637,800,0.994791687
1679473137,850,0.995592952
1679473598,900,0.998377383
1679474066,950,0.998177111
1679474541,1000,0.998677909
1679475017,1050,0.997636199
1679475489,1100,0.997856557
1679475968,1150,0.997536063
1679476438,1200,0.997455955
1679476920,1250,0.995272458
1679477431,1300,0.995372593
1679477907,1350,0.998597741
1679478386,1400,0.998457551
1679478860,1450,0.993890226
1679479358,1500,0.997415841
1679479837,1550,0.996494412
1679480314,1600,0.997716367
1679480804,1650,0.997496009
1679481288,1700,0.998898208
1679481773,1750,0.998898208
1679482250,1800,0.998337328
1679482753,1850,0.998457551
1679483244,1900,0.997716367
1679483710,1950,0.998016834
1679484202,2000,0.997055292
1679484709,2050,0.998898208
1679485187,2100,0.998677909
1679485700,2150,0.997676253
1679486165,2200,0.998597741
1679486641,2250,0.998818099
1679487092,2300,0.992487967
1679487569,2350,0.99853766
,2400,0.998597741
,2450,0.998818099
,2500,0.999487967
,2550,0.99953766
,2600,1
,2650,1
,2700,1
,2750,1
,2800,1
,2850,1
,2900,1
,2950,1
,3000,1
,3050,1
,3100,1
,3150,1
,3200,1
,3250,1
,3300,1
,3350,1
,3400,1
,3450,1
,3500,1
,3550,1
,3600,1
,3650,1
,3700,1
,3750,1
,3800,1
,3850,1
,3900,1
,3950,1
,4000,1
,4050,1
,4100,1
,4150,1
,4200,1
,4250,1
,4300,1
,4350,1
,4400,1
,4450,1
,4500,1
,4550,1
,4600,1
,4650,1
,4700,1
,4750,1
,4800,1
,4850,1
,4900,1
,4950,1
,5000,1
,5050,1
,5100,1
,5150,1
,5200,1
,5250,1
,5300,1
,5350,1
,5400,1
,5450,1
,5500,1
,5550,1
,5600,1
,5650,1
,5700,1
,5750,1
,5800,1
,5850,1
,5900,1
,5950,1
